#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-05-03T17:16:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5728dbdc0e7e 
#INFO -out.max=1000 
#INFO queryParameters=22 
#-oc.form=sexa
#-out.max=1000
#-nav=cat:J/A+A/559/A43&tab:{J/A+A/559/A43/table6}&key:source=J/A+A/559/A43&HTTPPRM:&&-ref=VIZ5728dbdc0e7e&Clear= Clear&-c.r=  2&-order=I&-out.src=J/A+A/559/A43/table6&-out=rc&-out=RV&-out=Vpar&-out=Vperp&-out=M&-out=Jmag&-out=e_Jmag&-out=Hmag&-out=e_Hmag&-out=Kmag&-out=e_Kmag&-out=W1mag&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-oc.form=sexa&-c.geom=r&-out.max=1000&-out.form=ascii text/plain&undefined=CDS, France&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/559/A43/table6
#-order=I
#-out=rc
#-out=RV
#-out=Vpar
#-out=Vperp
#-out=M
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#XV=XV
#Sloan=Sloan
#
#
#RESOURCE=yCat_35590043
#Name: J/A+A/559/A43
#Title: Pan-STARRS1 (PS1) observations of the Hyades (Goldman+, 2013)
#Coosys J2000_2000.000: eq_FK5 J2000    
#Table J_A_A_559_A43_table6:
#Name: J/A+A/559/A43/table6
#Title: Photometric and kinematic parameters for 773 Hyades member candidates
#---Details of Columns:
#    rc (pc)      (F5.2)  [0/30] Distance from the cluster centre [ucd=phys.size.radius]
#    RV (km/s)    (F5.2)  [16/46] Predicted radial velocity [ucd=phys.veloc;pos.heliocentric]
#    Vpar (km/s)  (F5.2)  [5/43] Tangential velocity in direction of the convergent point [ucd=phys.veloc.transverse]
#    Vperp (km/s) (F5.2)  [-5/4] Tangential velocity in direction perpendicular to the convergent point [ucd=phys.veloc.transverse]
#    M (Msun)     (F5.2)  [0.09/2.6] Mass of the star [ucd=phys.mass]
#    Jmag (mag)   (F6.3)  2MASS J band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.J]
#    e_Jmag (mag) (F6.3)  Error of Jmag [ucd=stat.error;phot.mag;em.IR.J]
#    Hmag (mag)   (F6.3)  2MASS H band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.H]
#    e_Hmag (mag) (F6.3)  Error of Hmag [ucd=stat.error;phot.mag;em.IR.H]
#    Kmag (mag)   (F6.3)  2MASS Ks band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.K]
#    e_Kmag (mag) (F6.3)  Error of Kmag [ucd=stat.error;phot.mag;em.IR.K]
#----- ----- ----- ----- ----- ------ ------ ------ ------ ------ ------
#            V     Vp                                                   
#rc    RV (  par ( erp ( M (   Jmag   e_Jmag Hmag   e_Hmag Kmag   e_Kmag
#(pc)  km/s) km/s) km/s) Msun) (mag)  (mag)  (mag)  (mag)  (mag)  (mag) 
#----- ----- ----- ----- ----- ------ ------ ------ ------ ------ ------
# rc    RV   Vpar  Vperp Mass  Jmag   e_Jmag Hmag   e_Hmag Kmag   e_Kmag
18.71 27.39 36.20  0.04  1.03  6.827  0.023  6.557  0.027  6.459  0.026
19.54 27.66 35.99 -0.25  0.29 11.389  0.023 10.804  0.031 10.535  0.020
21.67 26.70 36.70 -1.61  0.51  9.317  0.023  8.635  0.021  8.410  0.018
16.22 29.10 34.83  0.95  0.75  8.390  0.000  7.894  0.000  7.417  0.031
15.59 30.33 33.77 -2.44  1.21  6.291  0.023  6.052  0.047  5.992  0.021
15.60 30.34 33.76 -2.45  1.13  6.639  0.024  6.400  0.049  6.361  0.026
20.03 30.47 33.64  3.98  0.68  9.369  0.021  8.723  0.024  8.555  0.020
18.81 28.31 35.48 -0.75  0.16 12.597  0.019 12.010  0.021 11.695  0.018
24.78 25.08 37.83 -0.02  0.61  9.297  0.019  8.630  0.018  8.428  0.018
20.40 28.13 35.62 -3.68  0.67  8.227  0.026  7.573  0.026  7.399  0.021
23.78 28.64 35.21 -2.73  1.01  7.835  0.018  7.496  0.023  7.393  0.026
19.52 30.78 33.36 -0.21  0.78  7.545  0.024  6.955  0.051  6.881  0.023
19.23 29.63 34.38 -0.23  0.65  8.249  0.023  7.590  0.038  7.415  0.023
15.74 29.33 34.64 -1.09  0.36 10.823  0.024 10.195  0.022  9.939  0.021
20.93 27.07 36.43  0.48  0.14 12.552  0.022 11.944  0.025 11.599  0.019
15.32 30.66 33.47 -4.00  0.33 11.290  0.021 10.661  0.020 10.398  0.019
20.27 30.67 33.46 -1.24  0.41 10.060  0.023  9.452  0.022  9.197  0.020
15.41 31.40 32.78 -0.81  0.17 11.844  0.022 11.247  0.023 10.884  0.017
24.52 26.34 36.97 -1.51  0.15 12.612  0.023 11.995  0.031 11.762  0.019
13.50 30.67 33.46  2.31  0.16 12.360  0.020 11.717  0.024 11.433  0.020
19.55 29.10 34.84  0.47  1.32  6.354  0.018  6.147  0.018  6.109  0.021
12.28 31.49 32.69  0.04  0.94  7.374  0.021  7.018  0.017  6.907  0.016
18.59 32.46 31.72  3.30  0.69  9.343  0.024  8.696  0.044  8.490  0.023
15.31 31.87 32.31 -0.19  0.19 11.355  0.022 10.774  0.019 10.475  0.020
13.67 32.88 31.29 -1.24  0.49  9.559  0.022  8.960  0.029  8.699  0.021
11.77 32.76 31.41  0.56  0.59  9.100  0.021  8.474  0.023  8.231  0.017
12.73 32.76 31.41 -0.60  0.56  9.186  0.020  8.564  0.031  8.300  0.017
10.34 32.40 31.79  1.46  0.94  7.645  0.024  7.274  0.067  7.121  0.020
15.28 33.20 30.95  0.05  0.16 11.893  0.022 11.322  0.035 10.996  0.023
13.81 32.70 31.48 -0.62  0.30 10.567  0.021  9.970  0.023  9.713  0.016
15.57 31.47 32.71 -0.17  0.77  8.742  0.029  8.152  0.046  8.055  0.018
17.80 33.45 30.68 -0.95  0.96  8.138  0.026  7.672  0.027  7.525  0.027
10.95 32.63 31.55 -1.01  0.45 10.038  0.020  9.418  0.018  9.162  0.018
10.40 33.23 30.91 -2.35  0.49  9.710  0.021  9.107  0.024  8.868  0.021
 9.78 33.46 30.67  0.04  0.21 11.609  0.021 11.022  0.020 10.742  0.019
13.83 32.77 31.41 -1.65  0.37 10.202  0.022  9.545  0.023  9.316  0.023
13.99 32.37 31.81 -0.35  0.28 10.772  0.019 10.155  0.029  9.903  0.025
 9.12 33.23 30.92 -1.83  0.41 10.484  0.021  9.831  0.019  9.612  0.022
15.46 34.28 29.75  2.73  0.42 10.802  0.019 10.228  0.028  9.982  0.021
18.93 34.15 29.89  0.57  0.22 10.733  0.021 10.159  0.016  9.851  0.018
14.31 34.53 29.46 -0.03  0.69  8.273  0.026  7.624  0.033  7.509  0.016
11.83 33.44 30.69 -0.94  0.46  9.805  0.022  9.225  0.022  8.944  0.018
 7.50 34.43 29.58  0.06  0.92  7.776  0.023  7.401  0.059  7.249  0.023
12.51 34.72 29.23 -2.82  0.24 11.456  0.021 10.901  0.023 10.627  0.022
10.02 33.66 30.45 -0.27  0.80  8.106  0.023  7.540  0.017  7.395  0.020
 9.88 33.52 30.60  0.03  0.72  8.704  0.032  8.042  0.034  7.893  0.026
 9.62 33.63 30.48  0.46  0.13 12.960  0.026 12.412  0.036 12.056  0.026
 7.83 34.75 29.20 -0.54  1.56  5.254  0.026  5.161  0.042  5.091  0.018
27.38 33.34 30.80 -2.70  0.94  8.489  0.023  8.069  0.023  8.041  0.024
13.51 32.49 31.69 -0.32  0.38 10.456  0.024  9.838  0.022  9.582  0.018
 8.72 35.11 28.76  0.13  0.21 11.559  0.023 10.984  0.027 10.677  0.020
29.97 31.72 32.46 -2.89  0.42 11.313  0.020 10.721  0.019 10.482  0.017
 6.57 35.05 28.84  0.77  0.50  9.960  0.024  9.367  0.022  9.056  0.021
 7.45 35.31 28.52 -0.13  0.83  8.181  0.021  7.692  0.024  7.574  0.021
 8.38 35.01 28.88  0.49  0.92  7.413  0.020  7.038  0.027  6.910  0.021
12.86 32.75 31.43 -1.10  0.17 12.105  0.022 11.526  0.022 11.236  0.020
21.36 31.45 32.73 -2.76  0.48 10.581  0.020  9.931  0.019  9.711  0.021
18.53 34.58 29.41 -0.73  0.12 12.063  0.024 11.414  0.025 11.096  0.020
 6.40 34.97 28.94 -0.54  0.45 10.230  0.024  9.629  0.025  9.388  0.021
13.86 32.62 31.56 -1.50  0.54  9.795  0.021  9.188  0.019  8.944  0.017
16.68 31.44 32.74 -1.96  0.33 10.981  0.023 10.384  0.021 10.102  0.019
28.58 27.76 35.91  3.47  0.19 12.308  0.022 11.763  0.024 11.485  0.022
 6.74 34.91 29.01  1.59  0.17 12.245  0.020 11.668  0.022 11.333  0.021
 6.97 35.69 28.05 -0.82  0.20 11.845  0.022 11.256  0.022 10.987  0.018
17.90 31.19 32.98 -2.88  0.39 10.623  0.020 10.021  0.021  9.778  0.017
29.15 35.71 28.02  0.62  1.14  7.726  0.019  7.447  0.018  7.375  0.021
10.08 34.32 29.70 -0.30  0.47 10.357  0.022  9.755  0.030  9.499  0.021
 9.81 34.11 29.94 -2.48  0.70  8.717  0.029  8.065  0.023  7.885  0.020
 9.53 34.88 29.04  0.11  0.51  9.538  0.025  8.914  0.024  8.704  0.017
13.79 35.88 27.80  1.65  0.30 11.554  0.023 10.981  0.025 10.684  0.025
 6.99 35.53 28.25 -0.26  0.25 11.269  0.021 10.661  0.024 10.382  0.018
13.51 32.82 31.35 -1.32  0.51  9.876  0.022  9.246  0.021  9.000  0.019
 7.87 34.70 29.26  0.48  0.23 11.518  0.024 10.913  0.025 10.651  0.018
 8.68 35.94 27.73 -0.02  1.44  5.565  0.018  5.391  0.029  5.323  0.016
10.84 34.87 29.06  0.07  0.38 11.021  0.023 10.386  0.025 10.151  0.018
 6.04 35.35 28.47 -1.25  0.25 11.579  0.024 10.970  0.025 10.697  0.022
 5.87 35.91 27.76  0.43  0.45 10.260  0.021  9.615  0.022  9.344  0.017
 5.54 35.56 28.21  0.07  1.64  5.236  0.019  5.077  0.031  5.047  0.016
 5.90 35.91 27.76  0.12  0.36 10.693  0.020 10.083  0.022  9.826  0.017
14.07 32.77 31.41 -0.51  0.84  8.039  0.023  7.555  0.044  7.446  0.021
19.39 34.98 28.92 -0.79  0.19 11.846  0.026 11.237  0.022 10.927  0.021
 5.94 35.77 27.94 -1.06  0.34 10.770  0.018 10.178  0.017  9.913  0.016
20.08 30.84 33.31 -1.36  0.34 10.987  0.021 10.390  0.018 10.128  0.020
 5.46 35.73 27.99 -0.93  0.83  8.206  0.020  7.709  0.024  7.600  0.020
18.53 31.17 32.99  0.21  1.24  5.817  0.019  5.475  0.026  5.397  0.016
 6.29 36.17 27.42 -0.37  0.13 12.779  0.023 12.203  0.026 11.859  0.020
 6.41 35.85 27.84 -0.43  0.22 11.918  0.021 11.338  0.022 11.063  0.018
 5.47 35.69 28.04 -0.45  0.29 11.210  0.024 10.594  0.027 10.325  0.018
20.33 31.22 32.95 -2.66  0.16 12.616  0.023 12.004  0.032 11.719  0.020
11.03 34.14 29.90 -0.36  0.19 11.863  0.023 11.324  0.030 11.036  0.026
27.52 31.85 32.33  1.07  0.23 12.416  0.027 11.759  0.032 11.514  0.023
 4.95 35.93 27.74  0.92  0.68  8.889  0.032  8.259  0.027  8.107  0.026
 4.66 36.13 27.47  0.25  0.89  7.748  0.030  7.365  0.038  7.254  0.023
17.44 31.73 32.45  3.43  0.33 10.837  0.026 10.210  0.032  9.954  0.021
 7.80 36.14 27.46  0.41  0.53  9.488  0.021  8.820  0.020  8.598  0.020
 4.59 36.41 27.10  0.16  1.17  6.753  0.024  6.532  0.036  6.446  0.024
 5.41 36.08 27.54  0.33  0.29 11.341  0.022 10.756  0.020 10.471  0.018
 6.16 36.60 26.84  0.27  0.53  9.982  0.024  9.258  0.030  9.091  0.018
 4.60 36.53 26.94  0.25  0.77  8.365  0.026  7.811  0.049  7.665  0.026
13.07 36.00 27.65  0.44  0.18 11.450  0.020 10.858  0.022 10.556  0.018
25.98 36.79 26.59 -0.68  0.18 13.092  0.027 12.515  0.035 12.200  0.023
 4.94 36.62 26.82 -0.40  1.56  5.244  0.999  5.055  0.031  5.030  0.026
 4.18 36.50 26.98 -0.06  0.82  8.105  0.024  7.599  0.042  7.511  0.026
 5.65 36.52 26.95  1.06  0.67  8.766  0.026  8.106  0.042  7.933  0.024
11.04 36.80 26.57  1.96  1.07  7.185  0.037  6.749  0.040  6.645  0.029
 5.63 36.89 26.45 -0.30  0.71  8.818  0.029  8.171  0.042  8.046  0.027
 6.82 35.62 28.13 -0.01  0.89  7.840  0.023  7.441  0.023  7.323  0.015
 6.71 35.67 28.07 -0.54  0.61  9.380  0.026  8.792  0.026  8.529  0.024
24.35 34.55 29.44  0.69  1.24  7.125  0.024  6.856  0.047  6.768  0.026
22.15 37.08 26.17 -3.03  0.81  8.964  0.027  8.498  0.047  8.388  0.023
12.57 37.13 26.11  0.34  0.75  7.912  0.019  7.340  0.023  7.264  0.020
11.44 36.76 26.62 -0.17  0.14 12.085  0.026 11.464  0.030 11.154  0.018
 3.83 36.98 26.32  0.91  0.17 12.388  0.023 11.795  0.030 11.421  0.026
 4.07 36.63 26.81  0.10  1.41  5.795  0.020  5.625  0.020  5.572  0.021
14.85 33.78 30.32  1.73  0.53  9.313  0.022  8.612  0.049  8.471  0.020
 9.29 35.14 28.73 -1.50  0.39 10.594  0.020 10.018  0.022  9.750  0.022
 5.01 36.61 26.83 -0.30  0.32 11.145  0.021 10.573  0.022 10.292  0.017
12.53 37.27 25.90 -0.60  1.56  5.062  0.017  4.995  0.118  4.821  0.021
 3.43 36.96 26.35  1.05  0.35 10.807  0.019 10.236  0.029  9.941  0.021
 9.24 35.99 27.65 -0.44  1.05  7.148  0.030  6.563  0.016  6.409  0.024
 7.69 36.45 27.04 -0.12  0.18 11.732  0.022 11.149  0.022 10.885  0.018
 5.14 36.87 26.47 -0.49  0.41 10.275  0.023  9.690  0.031  9.414  0.021
14.89 36.89 26.45  3.74  0.20 11.720  0.024 11.170  0.022 10.911  0.024
10.54 37.03 26.24 -0.02  0.45  9.736  0.024  9.095  0.030  8.867  0.022
 5.50 36.29 27.26 -0.56  0.31 11.061  0.021 10.497  0.028 10.165  0.018
 8.75 37.41 25.70  1.03  0.15 12.129  0.021 11.495  0.027 11.234  0.022
17.62 36.48 27.01 -3.00  0.30 10.943  0.023 10.396  0.022 10.123  0.024
 3.49 37.20 26.01  0.27  0.27 11.303  0.021 10.732  0.020 10.444  0.019
 4.10 37.27 25.90 -0.78  0.38 10.541  0.024  9.975  0.023  9.700  0.020
 5.68 37.24 25.95  3.40  0.15 12.165  0.024 11.616  0.023 11.347  0.018
 4.99 37.39 25.73 -0.32  1.07  7.216  0.029  6.916  0.024  6.825  0.017
17.87 37.61 25.42  1.96  1.03  7.934  0.021  7.520  0.026  7.425  0.020
 4.40 37.54 25.52  0.38  1.11  6.856  0.019  6.607  0.021  6.534  0.017
 4.07 36.99 26.30 -1.69  0.47 10.294  0.021  9.711  0.024  9.427  0.017
11.27 36.46 27.04  0.53  1.43  6.207  0.019  6.082  0.023  6.005  0.021
 6.53 36.27 27.29  0.07  1.09  6.877  0.026  6.599  0.020  6.516  0.020
 5.63 37.62 25.39  0.13  1.30  6.128  0.019  5.915  0.021  5.862  0.017
 9.73 36.98 26.32 -2.63  0.26 11.882  0.020 11.259  0.022 10.984  0.018
 8.30 36.15 27.44 -0.21  0.17 12.479  0.020 11.903  0.022 11.593  0.021
 4.07 37.55 25.50 -0.80  0.80  8.445  0.029  7.828  0.017  7.688  0.017
24.45 35.47 28.32 -0.08  0.44  8.763  0.018  8.146  0.024  7.901  0.033
22.56 35.57 28.20 -3.75  0.70  8.903  0.023  8.261  0.071  8.004  0.033
 3.50 37.49 25.59  1.04  0.66  8.947  0.026  8.294  0.021  8.128  0.017
 6.70 36.82 26.54  0.27  0.18 11.960  0.024 11.336  0.023 11.008  0.020
 3.49 37.42 25.68  0.55  0.72  8.558  0.026  7.982  0.021  7.853  0.023
20.99 36.99 26.30  2.01  0.19 10.787  0.021 10.215  0.020  9.911  0.017
 4.11 37.33 25.83 -0.76  0.34 11.050  0.020 10.472  0.022 10.215  0.019
 4.59 36.83 26.52  0.12  1.18  6.537  0.027  6.257  0.017  6.190  0.017
 2.71 37.47 25.61  0.20  1.52  5.514  0.034  5.401  0.024  5.326  0.016
23.33 29.47 34.52 -0.81  0.19 11.583  0.022 11.049  0.030 10.752  0.021
 3.07 37.35 25.79 -1.85  0.34 10.806  0.022 10.196  0.022  9.916  0.017
 2.95 37.14 26.09 -0.29  0.45 10.247  0.021  9.654  0.022  9.410  0.017
 3.53 37.15 26.08  0.16  0.63  9.062  0.023  8.448  0.023  8.268  0.017
11.56 37.39 25.73  2.64  0.24 12.058  0.022 11.472  0.022 11.156  0.020
 8.06 37.64 25.37  0.53  0.28 10.925  0.020 10.321  0.020 10.049  0.019
 6.41 36.75 26.63  0.31  0.95  7.701  0.020  7.376  0.018  7.275  0.023
14.05 37.89 24.99 -3.12  0.50 10.425  0.030  9.913  0.042  9.597  0.030
 7.34 37.44 25.66 -1.73  0.35 11.161  0.022 10.565  0.020 10.275  0.019
 2.37 37.50 25.56 -0.97  0.42 10.434  0.020  9.813  0.020  9.585  0.017
 2.91 37.26 25.92  0.59  0.74  8.597  0.021  7.994  0.018  7.909  0.023
 4.78 37.69 25.29 -1.36  0.44 10.471  0.022  9.869  0.023  9.621  0.019
11.72 35.01 28.89  2.76  0.30 10.920  0.021 10.345  0.028 10.071  0.022
 2.25 37.52 25.54  1.26  1.07  6.865  0.020  6.486  0.016  6.397  0.018
 4.93 37.88 25.01 -0.65  0.34 10.746  0.021 10.136  0.023  9.868  0.018
 4.08 37.82 25.10 -0.76  0.62  9.405  0.022  8.720  0.018  8.527  0.019
 2.52 37.37 25.76 -0.76  0.52  9.841  0.022  9.246  0.022  8.992  0.018
 5.76 37.71 25.26 -1.76  0.33 11.224  0.021 10.638  0.022 10.365  0.017
 6.78 37.77 25.17 -0.72  0.39 10.871  0.020 10.276  0.024 10.017  0.017
 2.51 37.41 25.70  0.18  1.21  6.279  0.018  6.032  0.016  5.950  0.017
 3.46 37.88 25.01 -0.07  0.47 10.288  0.025  9.698  0.024  9.352  0.019
 2.28 37.52 25.54 -0.72  0.24 11.647  0.022 11.083  0.023 10.759  0.018
11.91 36.68 26.73 -0.28  1.13  7.585  0.019  7.077  0.029  6.937  0.016
 4.38 37.67 25.33 -0.69  0.27 11.583  0.021 10.970  0.022 10.704  0.017
 2.97 37.68 25.31  1.46  0.86  7.880  0.023  7.423  0.023  7.322  0.017
 4.56 37.55 25.50 -1.88  0.88  7.840  0.021  7.300  0.024  7.162  0.017
 9.79 36.99 26.30 -0.05  1.89  5.058  0.037  4.936  0.059  4.903  0.020
27.02 37.13 26.11 -2.28  0.21 12.782  0.021 12.191  0.022 11.930  0.023
 2.84 37.46 25.63 -1.88  0.24 11.490  0.023 10.922  0.022 10.601  0.017
 3.90 37.98 24.85 -0.11  0.31 11.062  0.020 10.480  0.022 10.205  0.019
13.21 37.99 24.84 -1.60  0.14 12.183  0.027 11.614  0.024 11.285  0.023
 3.31 37.94 24.91 -0.74  0.64  9.121  0.020  8.481  0.026  8.300  0.018
 6.20 38.12 24.64  0.24  0.25 11.522  0.021 10.884  0.030 10.621  0.019
 3.26 37.30 25.87  0.14  1.01  7.286  0.020  7.000  0.018  6.921  0.016
 5.43 37.36 25.78 -0.74  0.31 10.904  0.021 10.291  0.022 10.009  0.018
 2.01 37.61 25.41  0.05  1.04  7.134  0.023  6.872  0.020  6.787  0.016
 5.74 37.07 26.19 -0.44  0.51 10.106  0.021  9.442  0.020  9.222  0.018
 2.42 37.87 25.02  0.22  2.60  1.963  0.246  1.496  0.210  1.518  0.204
 4.04 37.80 25.13 -1.42  1.33  5.820  0.018  5.588  0.021  5.542  0.020
 2.96 38.02 24.79 -0.24  1.74  5.002  0.037  4.927  0.047  4.853  0.015
26.55 35.33 28.49  0.79  0.74  7.554  0.029  6.976  0.053  6.832  0.024
 3.03 37.51 25.55  0.30  1.22  6.395  0.018  6.184  0.026  6.124  0.018
 4.85 37.60 25.43 -2.47  1.52  5.343  0.018  5.209  0.023  5.160  0.016
 2.54 37.58 25.45 -3.21  0.31 11.063  0.021 10.483  0.022 10.215  0.018
 7.82 37.23 25.96 -0.79  0.38 11.018  0.021 10.410  0.022 10.127  0.017
 2.24 38.00 24.82  0.04  1.91  4.750  0.048  4.973  0.282  4.689  0.016
 3.94 38.13 24.63 -0.16  1.61  5.286  0.027  5.155  0.024  5.062  0.018
