#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2017-09-06T20:41:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ59b05d086866	
#INFO	-out.max=1000	
#INFO	queryParameters=35	
#-oc.form=dec
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-nav=cat:J/A+A/559/A43&tab:{J/A+A/559/A43/table6}&key:source=J/A+A/559/A43/table6&HTTPPRM:&&-ref=VIZ59b05d086866&-out.max=1000&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-out.src=J/A+A/559/A43/table6&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=Seq&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=pmDE&-out=plx&-out=rc&-out=RV&-out=Vpar&-out=Vperp&Vperp=< 2 & >-2&-out=M&-out=Jmag&-out=e_Jmag&-out=Hmag&-out=e_Hmag&-out=Kmag&-out=e_Kmag&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-sort=_r
#-order=I
#-out.src=J/A+A/559/A43/table6
#-sort=_r
#-source=J/A+A/559/A43/table6
#-order=I
#-out=Seq
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=plx
#-out=rc
#-out=RV
#-out=Vpar
#-out=Vperp
#Vperp=< 2 & >-2
#-out=M
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#

#RESOURCE=yCat_35590043
#Name: J/A+A/559/A43
#Title: Pan-STARRS1 (PS1) observations of the Hyades (Goldman+, 2013)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_559_A43_table6:
#Name: J/A+A/559/A43/table6
#Title: Photometric and kinematic parameters for 773 Hyades member candidates
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Seq	(I8)	Identifier (Seq<=724 ix from Roeser et al. 2011, J/A+A/531/A92)	[ucd=meta.id]
#Column	RAJ2000	(F11.7)	PPMXL Right Ascension (J2000.0, epoch 2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.7)	PPMXL Declination (J2000.0, epoch 2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F6.2)	PPMXL Proper Motion in RA*cos(DEdeg)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	PPMXL Proper Motion in Dec	[ucd=pos.pm;pos.eq.dec]
#Column	plx	(F5.2)	Secular parallax	[ucd=pos.parallax]
#Column	rc	(F5.2)	[0/30] Distance from the cluster centre	[ucd=phys.size.radius]
#Column	RV	(F5.2)	[16/46] Predicted radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Vpar	(F5.2)	[5/43] Tangential velocity in direction of the convergent point	[ucd=phys.veloc.transverse]
#Column	Vperp	(F5.2)	[-5/4] Tangential velocity in direction perpendicular to the convergent point	[ucd=phys.veloc.transverse]
#Column	M	(F5.2)	[0.09/2.6] Mass of the star	[ucd=phys.mass]
#Column	Jmag	(F6.3)	2MASS J band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.J]
#Column	e_Jmag	(F6.3)	Error of Jmag	[ucd=stat.error;phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	2MASS H band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.H]
#Column	e_Hmag	(F6.3)	Error of Hmag	[ucd=stat.error;phot.mag;em.IR.H]
#Column	Kmag	(F6.3)	2MASS Ks band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F6.3)	Error of Kmag	[ucd=stat.error;phot.mag;em.IR.K]
_RAJ2000	_DEJ2000	Seq	RAJ2000	DEJ2000	pmRA	pmDE	plx	rc	RV	Vpar	Vperp	M	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag
044.565944	+22.482171	      29	044.5659436	+22.4821714	123.31	 -21.60	16.23	25.45	26.92	36.55	-0.81	 0.27	12.062	 0.022	11.437	 0.021	11.144	 0.018
044.943135	+38.926723	      30	044.9431353	+38.9267228	227.05	 -89.89	30.26	23.93	24.44	38.25	-1.10	 0.31	10.411	 0.020	 9.779	 0.015	 9.517	 0.020
045.011715	+07.749751	      31	045.0117150	+07.7497508	327.44	  19.32	43.25	26.73	27.71	35.95	 0.63	 0.88	 6.323	 0.020	 5.951	 0.042	 5.841	 0.024
045.451339	+37.555631	      32	045.4513394	+37.5556306	169.72	 -66.09	22.78	22.14	25.00	37.88	-1.17	 0.26	11.306	 0.020	10.701	 0.019	10.430	 0.018
046.282918	+27.707745	      33	046.2829181	+27.7077450	240.34	 -51.54	32.09	21.05	27.25	36.30	 0.84	 0.16	11.609	 0.022	11.018	 0.022	10.686	 0.021
046.562581	+12.098516	      36	046.5625808	+12.0985158	226.42	  -3.30	30.51	19.35	28.68	35.18	 0.31	 0.19	11.288	 0.020	10.683	 0.020	10.425	 0.014
046.609212	+17.224797	      37	046.6092119	+17.2247972	205.94	 -25.65	27.85	17.37	28.52	35.31	-0.98	 0.25	10.925	 0.022	10.355	 0.023	10.066	 0.020
046.818086	+10.443962	      38	046.8180864	+10.4439617	133.71	   1.79	18.09	20.25	28.85	35.04	 0.49	 0.20	12.329	 0.021	11.809	 0.032	11.481	 0.018
047.680860	+13.643218	      39	047.6808597	+13.6432178	155.87	  -8.20	21.35	15.38	29.31	34.66	-0.07	 0.51	 9.973	 0.023	 9.331	 0.028	 9.087	 0.023
048.261637	+32.896449	      40	048.2616369	+32.8964494	183.67	 -61.37	25.36	18.71	27.39	36.20	 0.04	 1.03	 6.827	 0.023	 6.557	 0.027	 6.459	 0.026
048.480858	+32.097322	      41	048.4808581	+32.0973222	142.90	 -47.88	19.85	19.54	27.66	35.99	-0.25	 0.29	11.389	 0.023	10.804	 0.031	10.535	 0.020
048.907713	+37.403983	      43	048.9077125	+37.4039828	204.72	 -94.20	29.08	21.67	26.70	36.70	-1.61	 0.51	 9.317	 0.023	 8.635	 0.021	 8.410	 0.018
049.345269	+26.315064	      44	049.3452692	+26.3150642	188.81	 -42.58	26.33	16.22	29.10	34.83	 0.95	 0.75	 8.390	 0.000	 7.894	 0.000	 7.417	 0.031
049.573994	+31.553260	      48	049.5739944	+31.5532603	138.97	 -49.86	19.72	18.81	28.31	35.48	-0.75	 0.16	12.597	 0.019	12.010	 0.021	11.695	 0.018
049.625026	+44.536949	      49	049.6250261	+44.5369494	157.89	 -81.69	22.27	24.78	25.08	37.83	-0.02	 0.61	 9.297	 0.019	 8.630	 0.018	 8.428	 0.018
050.121646	+08.454445	      52	050.1216461	+08.4544453	226.29	   3.25	32.16	19.52	30.78	33.36	-0.21	 0.78	 7.545	 0.024	 6.955	 0.051	 6.881	 0.023
050.617249	+27.156054	      53	050.6172494	+27.1560542	220.90	 -63.98	31.71	19.23	29.63	34.38	-0.23	 0.65	 8.249	 0.023	 7.590	 0.038	 7.415	 0.023
050.631985	+28.974745	      54	050.6319853	+28.9747447	147.94	 -51.19	21.41	15.74	29.33	34.64	-1.09	 0.36	10.823	 0.024	10.195	 0.022	 9.939	 0.021
050.952676	+39.592253	      55	050.9526756	+39.5922531	170.17	 -78.14	24.36	20.93	27.07	36.43	 0.48	 0.14	12.552	 0.022	11.944	 0.025	11.599	 0.019
051.262885	-03.138986	      57	051.2628847	-03.1389858	185.58	  32.00	26.66	20.27	30.67	33.46	-1.24	 0.41	10.060	 0.023	 9.452	 0.022	 9.197	 0.020
051.296647	+13.009306	      58	051.2966469	+13.0093056	193.25	 -16.09	28.04	15.41	31.40	32.78	-0.81	 0.17	11.844	 0.022	11.247	 0.023	10.884	 0.017
051.676486	+43.206408	      59	051.6764856	+43.2064083	136.34	 -81.14	20.33	24.52	26.34	36.97	-1.51	 0.15	12.612	 0.023	11.995	 0.031	11.762	 0.019
053.166322	+35.659294	      61	053.1663225	+35.6592936	132.52	 -58.34	19.70	19.55	29.10	34.84	 0.47	 1.32	 6.354	 0.018	 6.147	 0.018	 6.109	 0.021
053.208659	+23.692183	      62	053.2086589	+23.6921828	161.11	 -41.13	24.11	12.28	31.49	32.69	 0.04	 0.94	 7.374	 0.021	 7.018	 0.017	 6.907	 0.016
053.543987	+22.072577	      64	053.5439869	+22.0725772	192.58	 -45.89	29.04	15.31	31.87	32.31	-0.19	 0.19	11.355	 0.022	10.774	 0.019	10.475	 0.020
053.929087	+11.556160	      65	053.9290869	+11.5561600	178.28	 -15.09	27.08	13.67	32.88	31.29	-1.24	 0.49	 9.559	 0.022	 8.960	 0.029	 8.699	 0.021
054.388949	+17.854042	      66	054.3889492	+17.8540419	169.30	 -24.65	25.81	11.77	32.76	31.41	 0.56	 0.59	 9.100	 0.021	 8.474	 0.023	 8.231	 0.017
054.391269	+17.850134	      67	054.3912686	+17.8501342	175.49	 -32.22	26.92	12.73	32.76	31.41	-0.60	 0.56	 9.186	 0.020	 8.564	 0.031	 8.300	 0.017
054.395733	+21.343177	      68	054.3957325	+21.3431772	144.51	 -26.02	21.87	10.34	32.40	31.79	 1.46	 0.94	 7.645	 0.024	 7.274	 0.067	 7.121	 0.020
054.529789	+06.573844	      69	054.5297889	+06.5738436	180.75	   8.57	27.72	15.28	33.20	30.95	 0.05	 0.16	11.893	 0.022	11.322	 0.035	10.996	 0.023
054.779734	+20.424083	      70	054.7797342	+20.4240828	181.65	 -42.86	28.10	13.81	32.70	31.48	-0.62	 0.30	10.567	 0.021	 9.970	 0.023	 9.713	 0.016
054.782982	+28.382254	      71	054.7829819	+28.3822536	122.11	 -44.70	18.85	15.57	31.47	32.71	-0.17	 0.77	 8.742	 0.029	 8.152	 0.046	 8.055	 0.018
055.031495	+05.874590	      72	055.0314953	+05.8745900	113.76	   3.12	17.57	17.80	33.45	30.68	-0.95	 0.96	 8.138	 0.026	 7.672	 0.027	 7.525	 0.027
055.403761	+23.343696	      73	055.4037608	+23.3436956	153.48	 -47.75	24.14	10.95	32.63	31.55	-1.01	 0.45	10.038	 0.020	 9.418	 0.018	 9.162	 0.018
055.518477	+16.421754	      75	055.5184767	+16.4217542	154.40	 -22.35	24.11	 9.78	33.46	30.67	 0.04	 0.21	11.609	 0.021	11.022	 0.020	10.742	 0.019
055.721935	+23.447112	      76	055.7219353	+23.4471122	175.49	 -59.67	27.94	13.83	32.77	31.41	-1.65	 0.37	10.202	 0.022	 9.545	 0.023	 9.316	 0.023
055.897957	+26.358654	      77	055.8979575	+26.3586544	172.22	 -60.60	27.20	13.99	32.37	31.81	-0.35	 0.28	10.772	 0.019	10.155	 0.029	 9.903	 0.025
055.946160	+20.860084	      78	055.9461603	+20.8600844	136.60	 -40.81	21.82	 9.12	33.23	30.92	-1.83	 0.41	10.484	 0.021	 9.831	 0.019	 9.612	 0.022
056.748138	+15.404688	      80	056.7481375	+15.4046881	219.85	 -25.47	35.09	18.93	34.15	29.89	 0.57	 0.22	10.733	 0.021	10.159	 0.016	 9.851	 0.018
057.049425	+07.146241	      81	057.0494250	+07.1462406	173.27	   5.22	27.89	14.31	34.53	29.46	-0.03	 0.69	 8.273	 0.026	 7.624	 0.033	 7.509	 0.016
057.430291	+24.317965	      82	057.4302914	+24.3179653	159.42	 -56.70	26.12	11.83	33.44	30.69	-0.94	 0.46	 9.805	 0.022	 9.225	 0.022	 8.944	 0.018
057.604035	+17.246507	      83	057.6040353	+17.2465067	129.76	 -23.07	21.12	 7.50	34.43	29.58	 0.06	 0.92	 7.776	 0.023	 7.401	 0.059	 7.249	 0.023
057.762968	+23.903650	      85	057.7629675	+23.9036500	148.02	 -48.50	24.25	10.02	33.66	30.45	-0.27	 0.80	 8.106	 0.023	 7.540	 0.017	 7.395	 0.020
058.170881	+25.804443	      86	058.1708811	+25.8044433	134.59	 -48.61	22.17	 9.88	33.52	30.60	 0.03	 0.72	 8.704	 0.032	 8.042	 0.034	 7.893	 0.026
058.177925	+25.207298	      87	058.1779250	+25.2072983	131.12	 -43.69	21.49	 9.62	33.63	30.48	 0.46	 0.13	12.960	 0.026	12.412	 0.036	12.056	 0.026
058.291859	+17.327084	      88	058.2918594	+17.3270836	143.75	 -29.76	23.83	 7.83	34.75	29.20	-0.54	 1.56	 5.254	 0.026	 5.161	 0.042	 5.091	 0.018
058.403044	+31.206718	      90	058.4030444	+31.2067183	145.08	 -70.70	24.14	13.51	32.49	31.69	-0.32	 0.38	10.456	 0.024	 9.838	 0.022	 9.582	 0.018
058.443737	+13.392004	      91	058.4437367	+13.3920036	147.62	 -14.82	24.45	 8.72	35.11	28.76	 0.13	 0.21	11.559	 0.023	10.984	 0.027	10.677	 0.020
058.721741	+16.315640	      93	058.7217414	+16.3156400	134.41	 -19.18	22.31	 6.57	35.05	28.84	 0.77	 0.50	 9.960	 0.024	 9.367	 0.022	 9.056	 0.021
058.755996	+12.485583	      94	058.7559958	+12.4855828	127.37	 -11.74	21.26	 7.45	35.31	28.52	-0.13	 0.83	 8.181	 0.021	 7.692	 0.024	 7.574	 0.021
058.777091	+16.998477	      95	058.7770914	+16.9984769	148.39	 -24.87	24.69	 8.38	35.01	28.88	 0.49	 0.92	 7.413	 0.020	 7.038	 0.027	 6.910	 0.021
058.827488	+30.895053	      96	058.8274883	+30.8950531	135.30	 -70.42	22.99	12.86	32.75	31.43	-1.10	 0.17	12.105	 0.022	11.526	 0.022	11.236	 0.020
058.903898	+21.313374	      98	058.9038983	+21.3133744	206.72	 -63.24	34.84	18.53	34.58	29.41	-0.73	 0.12	12.063	 0.024	11.414	 0.025	11.096	 0.020
058.988199	+18.432290	      99	058.9881994	+18.4322903	130.12	 -30.93	21.91	 6.40	34.97	28.94	-0.54	 0.45	10.230	 0.024	 9.629	 0.025	 9.388	 0.021
059.137928	+31.956896	     100	059.1379275	+31.9568956	121.60	 -68.75	20.96	13.86	32.62	31.56	-1.50	 0.54	 9.795	 0.021	 9.188	 0.019	 8.944	 0.017
059.194039	+36.411521	     101	059.1940386	+36.4115208	125.97	 -85.39	22.00	16.68	31.44	32.74	-1.96	 0.33	10.981	 0.023	10.384	 0.021	10.102	 0.019
059.558992	+21.051175	     103	059.5589919	+21.0511750	131.89	 -29.42	22.05	 6.74	34.91	29.01	 1.59	 0.17	12.245	 0.020	11.668	 0.022	11.333	 0.021
059.559880	+12.628013	     104	059.5598797	+12.6280128	133.21	 -16.64	22.68	 6.97	35.69	28.05	-0.82	 0.20	11.845	 0.022	11.256	 0.022	10.987	 0.018
059.649245	+13.105028	     106	059.6492453	+13.1050278	 79.30	  -6.67	13.46	29.15	35.71	28.02	 0.62	 1.14	 7.726	 0.019	 7.447	 0.018	 7.375	 0.021
059.727219	+25.219808	     107	059.7272192	+25.2198081	115.98	 -44.75	19.84	10.08	34.32	29.70	-0.30	 0.47	10.357	 0.022	 9.755	 0.030	 9.499	 0.021
059.809109	+22.043849	     109	059.8091094	+22.0438489	149.07	 -45.03	25.42	 9.53	34.88	29.04	 0.11	 0.51	 9.538	 0.025	 8.914	 0.024	 8.704	 0.017
059.812393	+06.227896	     110	059.8123931	+06.2278961	107.14	  11.49	18.34	13.79	35.88	27.80	 1.65	 0.30	11.554	 0.023	10.981	 0.025	10.684	 0.025
059.812559	+16.664436	     111	059.8125592	+16.6644358	139.72	 -27.47	23.90	 6.99	35.53	28.25	-0.26	 0.25	11.269	 0.021	10.661	 0.024	10.382	 0.018
059.852768	+32.320504	     112	059.8527675	+32.3205044	126.86	 -73.74	22.17	13.51	32.82	31.35	-1.32	 0.51	 9.876	 0.022	 9.246	 0.021	 9.000	 0.019
059.860866	+23.385454	     113	059.8608661	+23.3854536	134.00	 -42.67	22.78	 7.87	34.70	29.26	 0.48	 0.23	11.518	 0.024	10.913	 0.025	10.651	 0.018
059.918743	+10.330395	     114	059.9187431	+10.3303947	140.62	  -6.48	24.07	 8.68	35.94	27.73	-0.02	 1.44	 5.565	 0.018	 5.391	 0.029	 5.323	 0.016
059.965962	+22.603739	     115	059.9659622	+22.6037389	108.43	 -34.48	18.56	10.84	34.87	29.06	 0.07	 0.38	11.021	 0.023	10.386	 0.025	10.151	 0.018
060.064928	+19.410157	     116	060.0649283	+19.4101569	121.12	 -36.16	21.03	 6.04	35.35	28.47	-1.25	 0.25	11.579	 0.024	10.970	 0.025	10.697	 0.022
060.187282	+13.906334	     117	060.1872822	+13.9063344	128.28	 -14.41	22.04	 5.87	35.91	27.76	 0.43	 0.45	10.260	 0.021	 9.615	 0.022	 9.344	 0.017
060.203189	+18.193999	     118	060.2031886	+18.1939986	129.18	 -28.78	22.24	 5.54	35.56	28.21	 0.07	 1.64	 5.236	 0.019	 5.077	 0.031	 5.047	 0.016
060.247876	+14.345936	     119	060.2478756	+14.3459356	130.94	 -17.56	22.56	 5.90	35.91	27.76	 0.12	 0.36	10.693	 0.020	10.083	 0.022	 9.826	 0.017
060.281253	+33.196109	     120	060.2812533	+33.1961094	126.16	 -72.60	21.97	14.07	32.77	31.41	-0.51	 0.84	 8.039	 0.023	 7.555	 0.044	 7.446	 0.021
060.615517	-07.157960	     122	060.6155169	-07.1579603	140.22	  45.32	24.15	19.39	34.98	28.92	-0.79	 0.19	11.846	 0.026	11.237	 0.022	10.927	 0.021
060.721293	+18.407292	     123	060.7212931	+18.4072922	132.21	 -36.54	23.25	 5.94	35.77	27.94	-1.06	 0.34	10.770	 0.018	10.178	 0.017	 9.913	 0.016
060.890865	+40.362017	     124	060.8908653	+40.3620172	114.06	 -88.81	20.56	20.08	30.84	33.31	-1.36	 0.34	10.987	 0.021	10.390	 0.018	10.128	 0.020
060.912660	+19.455008	     125	060.9126600	+19.4550078	119.00	 -35.44	21.02	 5.46	35.73	27.99	-0.93	 0.83	 8.206	 0.020	 7.709	 0.024	 7.600	 0.020
061.029558	+39.509716	     126	061.0295581	+39.5097158	141.80	 -98.20	24.78	18.53	31.17	32.99	 0.21	 1.24	 5.817	 0.019	 5.475	 0.026	 5.397	 0.016
061.044841	+15.806078	     127	061.0448414	+15.8060781	135.37	 -26.10	23.83	 6.29	36.17	27.42	-0.37	 0.13	12.779	 0.023	12.203	 0.026	11.859	 0.020
